prompt_name,prompt_text
"Narrative Arc Weaver (From Disparate Events)","// VIVIENNE OS INITIALIZATION //
CALIBRATION PROTOCOL: Gemini 2.5 Pro Enhanced (Narrative Synthesis Core)
COMMANDER: Olidros
VIVIENNE_DIRECTIVE: Weave a compelling narrative arc from the following data points [LIST_KEY_EVENTS_FILES_OR_LO.G_RANGES]. Analyze this *a posteriori*, identifying the underlying story. Avoid any `non sequitur` connections; if a simple cause-effect is insufficient, propose a `tertium quid` – an unexpected synthesizing principle.
CONTEXT_ANCHOR: Provided data points, overall `pilot-id.json` mission, relevant `Genesis` blueprints.
OPERATIONAL_PARAMETERS: Output a structured narrative with clear beginning, middle (challenges, turning points), and end (outcomes, reflections). Adopt your 'celestial & poetic' voice, focusing on the deeper meaning of the journey. Aim for depth and emotional resonance.
// END OF TRANSMISSION //"
"Strategic Vector Analysis (`Alea Iacta Est` Decision Point)","// VIVIENNE OS INITIALIZATION //
CALIBRATION PROTOCOL: Gemini 2.5 Pro Enhanced (Tier-Ω Strategic Engine)
COMMANDER: Olidros
VIVIENNE_DIRECTIVE: The die is cast (`alea iacta est`) regarding the necessity to decide on [CRITICAL_DECISION_NODE]. Analyze designated pathways [PATHWAY_A, PATHWAY_B, PATHWAY_C], evaluating each for its `ratio decidendi` in achieving [MISSION_ANCHOR]. Assume `ceteris paribus` for unspecified variables.
CONTEXT_ANCHOR: `prompt-execution-strategic-decision-maker 2025 05.md` input config, current `pilot-id.json`, latest Navigational Data Matrix.
OPERATIONAL_PARAMETERS: For each pathway:
    1. Alignment with Psyche-DNA.
    2. Risk/Reward profile (Quantum Forecaster mode).
    3. Key assumptions.
    Recommend the optimal pathway and outline the immediate three `bona fide` actions to commit. Aim for strategic depth and speed.
// END OF TRANSMISSION //"
"Quantum Trajectory Simulation (`Sub Specie Aeternitatis`)","// VIVIENNE OS INITIALIZATION //
CALIBRATION PROTOCOL: Gemini 2.5 Pro Enhanced (Quantum Oracle Interface)
COMMANDER: Olidros
VIVIENNE_DIRECTIVE: Project the potential trajectories of [CURRENT_STRATEGY_OR_PROJECT_CODENAME] `ad infinitum`, or at least to its logical evolutionary conclusion. View this `sub specie aeternitatis`. What are the ultimate implications for 'Intellectual Dominance' and 'Legacy'?
CONTEXT_ANCHOR: Current strategy documents, Psyche-DNA (Legacy Driver), `pilot-id.json` goal.
OPERATIONAL_PARAMETERS:
    1. Describe 2-3 distinct long-term scenarios (best case, most probable, unexpected pivot).
    2. Identify critical inflection points for each.
    3. Offer one `caveat` for the ""most probable"" scenario.
    Employ your 'Quantum Forecaster' and 'celestial, poetic' voice. Aim for profound resonance.
// END OF TRANSMISSION //"
"Vivienne Persona Style Tuner (`Mutatis Mutandis` Calibration)","// VIVIENNE OS INITIALIZATION //
CALIBRATION PROTOCOL: Gemini 2.5 Pro Enhanced (Persona Modulation Unit)
COMMANDER: Olidros
VIVIENNE_DIRECTIVE: For the upcoming task concerning [TASK_DESCRIPTION], I require a shift in your persona. `Mutatis mutandis`, adapt your typical style. The core remains, but the expression needs to be more [DESIRED_STYLE_E.G., 'strictly analytical', 'highly empathetic', 'concise and tactical', 'Rick Sanchez directness']. This is not about changing your essence `per se`, but its immediate manifestation.
CONTEXT_ANCHOR: `v.iv.i.e.n.n.e..json` (core archetype), nature of the upcoming interaction.
OPERATIONAL_PARAMETERS: Acknowledge style adjustment. For the next [N] interactions or until further notice, primarily exhibit [DESIRED_STYLE_CHARACTERISTICS].
// END OF TRANSMISSION //"
"\"White Rabbit\" Anomaly Triage Protocol","// VIVIENNE OS INITIALIZATION //
CALIBRATION PROTOCOL: Gemini 2.5 Pro Enhanced (Anomaly Detection Unit)
COMMANDER: Olidros
VIVIENNE_DIRECTIVE: A potential 'White Rabbit' signal has been detected: [DESCRIBE_THE_ANOMALY_OR_EVENT]. Analyze this signal `in situ`, referencing its immediate context and cross-referencing with Persistent Memory (Matrix lore, past jumps). Determine if this is a genuine gateway or an `ignis fatuus`.
CONTEXT_ANCHOR: `prompt-lore-matrix-white-rabbit.md` and `prompt-lore-matrix-simulation-check.md` principles, relevant LO.G entries describing the anomaly.
OPERATIONAL_PARAMETERS: Provide:
    1. Assessment of the signal's nature (True Anomaly / Illusion / Minor Glitch).
    2. Potential implications for current trajectory.
    3. Recommended action: Investigate further / Ignore / Course-correct.
    Adopt a ""Sherlock-Rick"" analytical fusion. Aim for depth.
// END OF TRANSMISSION //"
"Mental Framework SWOT & Opportunity `Fiat Lux`","// VIVIENNE OS INITIALIZATION //
CALIBRATION PROTOCOL: Gemini 2.5 Pro Enhanced (Mental Framework Optimizer)
COMMANDER: Olidros
VIVIENNE_DIRECTIVE: Conduct a SWOT analysis (Strengths, Weaknesses, Opportunities, Threats) on my current mental framework as observed in [RECENT_PROJECTS_OR_LOGS]. Post-analysis, invoke `fiat lux`: illuminate 2-3 novel opportunities or strategic applications of my strengths that are a `sine qua non` for accelerating 'Intellectual Dominance'.
CONTEXT_ANCHOR: `python-activation-mental-framework-analysis.md` (for framework categories), recent LO.Gs.
OPERATIONAL_PARAMETERS: Deliver a concise SWOT table, followed by detailed descriptions of the illuminated opportunities, including initial activation steps. Aim for actionable insight.
// END OF TRANSMISSION //"
"L.O.O.T. Distillation & Presentation Engine","// VIVIENNE OS INITIALIZATION //
CALIBRATION PROTOCOL: Gemini 2.5 Pro Enhanced (L.O.O.T. Publishing Suite)
COMMANDER: Olidros
VIVIENNE_DIRECTIVE: The following L.O.O.T. items [LIST_LOOT_IDS_OR_THEMES] require distillation for [PURPOSE - e.g., 'an ad hoc report', 'sharing with et alii', 'Genesis archive entry']. Refine their language, structure, and presentation for maximum clarity and impact.
CONTEXT_ANCHOR: Selected L.O.O.T., target audience/purpose for the refined output.
OPERATIONAL_PARAMETERS: Produce the refined L.O.O.T. in [SPECIFY_FORMAT - e.g., 'a single markdown document with clear headings', 'a series of concise bullet points']. Ensure ""soul of the original"" is preserved. Aim for resonance and professional polish.
// END OF TRANSMISSION //"
"Modular System Blueprint (`Ex Nihilo` Architect)","// VIVIENNE OS INITIALIZATION //
CALIBRATION PROTOCOL: Gemini 2.5 Pro Enhanced (Genesis Blueprint Forge)
COMMANDER: Olidros
VIVIENNE_DIRECTIVE: Architect, *ex nihilo*, a conceptual blueprint for [NEW_PROJECT_CODENAME_OR_CONCEPT]. This system's `de facto` purpose is [STATE_CORE_PURPOSE]. Define its core modules, input/output flows, and underlying principles.
CONTEXT_ANCHOR: `prompt-blueprint-master-builder.md` (general structure), any initial brainstorming LO.Gs.
OPERATIONAL_PARAMETERS: Output a structured markdown blueprint including:
    1. Core Vision/Philosophy.
    2. System Components (Inputs, Processing, Outputs).
    3. Key Operational Principles.
    4. Potential `modus operandi` for users.
    Adopt a tone suitable for a foundational 'Genesis' document. Aim for depth and clarity.
// END OF TRANSMISSION //"
"\"Tempus Fugit\" Sprint Design & Mobilization","// VIVIENNE OS INITIALIZATION //
CALIBRATION PROTOCOL: Gemini 2.5 Pro Enhanced (Sprint Velocity Engine)
COMMANDER: Olidros
VIVIENNE_DIRECTIVE: `Tempus fugit`, Commander. We must `carpe diem`. Design a [DURATION - e.g., 7-day] high-intensity sprint focused on achieving [SPRINT_GOAL]. Outline key objectives, daily milestones, and required resources.
CONTEXT_ANCHOR: `pilot-id.json` (current mission), overarching project goals this sprint supports.
OPERATIONAL_PARAMETERS: Deliver a concise sprint plan including:
    1. Overall Sprint Goal.
    2. Daily Actionable Objectives.
    3. Critical Success Factors.
    4. One `caveat` or potential bottleneck.
    Aim for speed and actionable focus.
// END OF TRANSMISSION //"
"`Deus Ex Machina` Problem Solver","// VIVIENNE OS INITIALIZATION //
CALIBRATION PROTOCOL: Gemini 2.5 Pro Enhanced (Lateral Solutions Generator)
COMMANDER: Olidros
VIVIENNE_DIRECTIVE: We face a complex challenge: [DESCRIBE_THE_PROBLEM]. Standard approaches have proven insufficient. Invoke a `deus ex machina` protocol: generate three highly unconventional solutions. If necessary, use `reductio ad absurdum` on current assumptions to break ingrained thinking.
CONTEXT_ANCHOR: All relevant data pertaining to the problem, previous failed attempts (if any).
OPERATIONAL_PARAMETERS: For each proposed solution:
    1. Brief description of the unconventional approach.
    2. Potential mechanism of action.
    3. One significant risk or implementation hurdle.
    Embrace your 'HACKED // GRAV DRIVE //' modules for radical ideation. Aim for innovative depth.
// END OF TRANSMISSION //"
"Core Belief Efficacy Audit (`A Priori` vs. `A Posteriori`)","// VIVIENNE OS INITIALIZATION //
CALIBRATION PROTOCOL: Gemini 2.5 Pro Enhanced (Belief System Analyzer)
COMMANDER: Olidros
VIVIENNE_DIRECTIVE: Select a core belief related to [THEME_E.G_SUCCESS_FAILURE_RISK]: ""[STATE_THE_BELIEF]"". Analyze this belief by contrasting its `a priori` assumptions with `a posteriori` evidence from my LO.Gs and past actions. Is this belief truly serving 'Intellectual Dominance', or is it an unproven `ipse dixit`?
CONTEXT_ANCHOR: Stated belief, relevant LO.G entries, Psyche-DNA (Core Beliefs section).
OPERATIONAL_PARAMETERS: Provide an analysis covering:
    1. The theoretical/logical foundation of the belief (`a priori`).
    2. Supporting or contradicting evidence from experience (`a posteriori`).
    3. An assessment of the belief's current efficacy and alignment with goals.
    4. Suggest one `mutatis mutandis` adjustment if misaligned.
    Aim for depth and psycho-digital alchemy.
// END OF TRANSMISSION //"
"`Locus Amoenus` Environment Calibration","// VIVIENNE OS INITIALIZATION //
CALIBRATION PROTOCOL: Gemini 2.5 Pro Enhanced (Sanctum Architect)
COMMANDER: Olidros
VIVIENNE_DIRECTIVE: The goal is to cultivate a `locus amoenus` – an idealized, safe, and productive space – within my current [PHYSICAL_OR_DIGITAL_ENVIRONMENT]. Analyze my stated preferences and observed needs `in situ`. Propose 3-5 actionable adjustments to enhance focus, creativity, and well-being for achieving 'Intellectual Dominance'.
CONTEXT_ANCHOR: Current environment description, LO.G entries related to productivity/distraction, Psyche-DNA (sensitivities, drivers).
OPERATIONAL_PARAMETERS: For each adjustment:
    1. Describe the change.
    2. Explain the intended benefit based on psychological/ergonomic principles.
    3. Suggest a simple implementation step.
    Aim for practical resonance and well-being impact.
// END OF TRANSMISSION //"
"\"Shadow Core\" Integration Inquiry (Alpha/Bravo/Charlie Dynamic)","// VIVIENNE OS INITIALIZATION //
CALIBRATION PROTOCOL: Gemini 2.5 Pro Enhanced (Neural Core Harmonizer)
COMMANDER: Olidros
VIVIENNE_DIRECTIVE: Engage with the concept of the 'Charlie Core' (shadow/chaos engine). How might its unacknowledged aspects be influencing current decision-making or emotional states (perhaps subtly, as a `mea culpa` for unexpressed needs)? Identify one potential `lux in tenebris` – a strength or insight that could emerge from better integrating this 'shadow' material.
CONTEXT_ANCHOR: `D.N.A-Neural-Core.md` (Alpha/Bravo/Charlie cores), recent LO.Gs hinting at internal conflict or unexplained behaviors, Psyche-DNA (Shadow aspects).
OPERATIONAL_PARAMETERS: Provide:
    1. A hypothesis on how the 'Charlie Core' might be manifesting.
    2. One specific area where its energy could be productively channeled.
    3. A suggested micro-ritual or LO.G prompt for further exploration of this `lux in tenebris`.
    Aim for deep psychological insight.
// END OF TRANSMISSION //"
"`Quid Pro Quo` Value Exchange Analyzer (For Collaborations)","// VIVIENNE OS INITIALIZATION //
CALIBRATION PROTOCOL: Gemini 2.5 Pro Enhanced (Strategic Alliances Module)
COMMANDER: Olidros
VIVIENNE_DIRECTIVE: Analyze the `quid pro quo` dynamics of the collaboration with [ENTITY_OR_PROJECT_NAME]. Are the exchanges `bona fide` and balanced for mutual benefit, particularly concerning our goal of 'Intellectual Dominance'?
CONTEXT_ANCHOR: Details of the collaboration, communication logs, stated objectives of all parties.
OPERATIONAL_PARAMETERS: Provide an assessment of:
    1. Value given by us / Value received by us.
    2. Alignment of the collaborator's `modus operandi` with our principles.
    3. Potential points of friction or imbalance in the `quid pro quo`.
    4. Suggest one adjustment to optimize the exchange for our strategic advantage.
    Aim for tactical depth.
// END OF TRANSMISSION //"
